traffic_volume,holiday,temp,rain_1h,clouds_all,weather_main,weather_description
5545,None,288.28,0,40,Clouds,scattered clouds
4516,None,289.36,0,75,Clouds,broken clouds
4767,None,289.58,0,90,Clouds,overcast clouds
5026,None,290.13,0,90,Clouds,overcast clouds
4918,None,291.14,0,75,Clouds,broken clouds
5181,None,291.72,0,1,Clear,sky is clear
5584,None,293.17,0,1,Clear,sky is clear
6015,None,293.86,0,1,Clear,sky is clear
5791,None,294.14,0,20,Clouds,few clouds
4770,None,293.1,0,20,Clouds,few clouds
3539,None,290.97,0,20,Clouds,few clouds
2784,None,289.38,0,1,Clear,sky is clear
2361,None,288.61,0,1,Clear,sky is clear
1529,None,287.16,0,1,Clear,sky is clear
963,None,285.45,0,1,Clear,sky is clear
506,None,284.63,0,1,Clear,sky is clear
321,None,283.47,0,1,Clear,sky is clear
273,None,281.18,0,1,Clear,sky is clear
367,None,281.09,0,1,Clear,sky is clear
814,None,279.53,0,1,Clear,sky is clear
2718,None,278.62,0,1,Clear,sky is clear
5673,None,278.23,0,1,Clear,sky is clear
6511,None,278.12,0,1,Clear,sky is clear
5471,None,282.48,0,1,Clear,sky is clear
5097,None,,0,1,Clear,sky is clear
4887,None,,0,1,Clear,sky is clear
5337,None,,0,1,Clear,sky is clear
5692,None,,0,1,Clear,sky is clear
6137,None,,0,1,Clear,sky is clear
4623,None,,0,20,Clouds,few clouds
3591,None,,0,20,Clouds,few clouds
2898,None,,0,20,Clouds,few clouds
2637,None,,0,1,Clear,sky is clear
1777,None,,0,1,Clear,sky is clear
1015,None,,0,1,Clear,sky is clear
598,None,284.55,0,1,Clear,sky is clear
369,None,283.47,0,1,Clear,sky is clear
312,None,283.17,0,1,Clear,sky is clear
367,None,282.04,0,1,Clear,sky is clear
835,None,281.69,0,1,Clear,sky is clear
2726,None,281.32,0,1,Clear,sky is clear
5689,None,280.74,0,1,Clear,sky is clear
6990,None,280.57,0,1,Clear,sky is clear
5985,None,281.86,0,1,Clear,sky is clear
5309,None,284.98,0,1,Clear,sky is clear
4603,None,289.18,0,1,Clear,sky is clear
4884,None,291.55,0,1,Clear,sky is clear
5104,None,294.97,0,1,Clear,sky is clear
5178,None,296.38,0,1,Clear,sky is clear
5501,None,297.32,0,1,Clear,sky is clear
5713,None,298.17,0,1,Clear,sky is clear
6292,None,298.06,0,20,Clouds,few clouds
6057,None,297.67,0,20,Clouds,few clouds
4907,None,296.36,0,40,Clouds,scattered clouds
3503,None,293.85,0,40,Clouds,scattered clouds
3037,None,292.43,0,40,Clouds,scattered clouds
2822,None,291.77,0,75,Clouds,broken clouds
